06/09/2026;17:59:12;Green Wave Activation;Intersection Locked (Ambulance Priority);0;287
06/09/2026;17:59:30;Emergency End;Normal Cycle Restoration;-;328
06/09/2026;18:00:20;Green Wave Activation;Intersection Locked (Ambulance Priority);0;287
06/09/2026;18:00:37;Emergency End;Normal Cycle Restoration;-;328
06/09/2026;18:09:01;Green Wave Activation;Intersection Locked (Ambulance Priority);21;287
06/09/2026;18:09:18;Emergency End;Normal Cycle Restoration;-;328
06/09/2026;18:14:42;Green Wave Activation;Intersection Locked (Ambulance Priority);39;287
06/09/2026;18:15:06;Emergency End;Normal Cycle Restoration;-;328
